Device;tps;kB_read/s;kB_wrtn/s;kB_read;kB_wrtn
sdc;0;0;0;3665;4
sda;1,92;7,07;0,83;41921254;4935962
sdb;0;0;0;7128;4
dm-0;1,92;7,07;0,83;41908626;4933874
dm-1;0;0;0;2204;0
sdc;0;0;0;3665;4
sda;1,92;7,07;0,83;41921254;4935993
sdb;0;0;0;7128;4
dm-0;1,92;7,07;0,83;41908626;4933905
dm-1;0;0;0;2204;0
sdc;0;0;0;3665;4
sda;1,92;7,07;0,83;41921254;4935993
sdb;0;0;0;7128;4
dm-0;1,92;7,07;0,83;41908626;4933905
dm-1;0;0;0;2204;0
sdc;0;0;0;3665;4
sda;1,92;7,07;0,83;41921254;4935993
sdb;0;0;0;7128;4
dm-0;1,92;7,07;0,83;41908626;4933905
dm-1;0;0;0;2204;0
sdc;0;0;0;3665;4
sda;1,92;7,07;0,83;41921254;4936001
sdb;0;0;0;7128;4
dm-0;1,92;7,07;0,83;41908626;4933913
dm-1;0;0;0;2204;0
sdc;0;0;0;3665;4
sda;1,92;7,07;0,83;41921254;4936001
sdb;0;0;0;7128;4
dm-0;1,92;7,07;0,83;41908626;4933913
dm-1;0;0;0;2204;0
sdc;0;0;0;3665;4
sda;1,92;7,07;0,83;41921254;4936001
sdb;0;0;0;7128;4
dm-0;1,92;7,07;0,83;41908626;4933913
dm-1;0;0;0;2204;0
sdc;0;0;0;3665;4
sda;1,92;7,07;0,83;41921254;4936001
sdb;0;0;0;7128;4
dm-0;1,92;7,07;0,83;41908626;4933913
dm-1;0;0;0;2204;0
sdc;0;0;0;3665;4
sda;1,92;7,07;0,83;41921254;4936001
sdb;0;0;0;7128;4
dm-0;1,92;7,07;0,83;41908626;4933913
dm-1;0;0;0;2204;0
sdc;0;0;0;3665;4
sda;1,92;7,07;0,83;41921254;4936001
sdb;0;0;0;7128;4
dm-0;1,92;7,07;0,83;41908626;4933913
dm-1;0;0;0;2204;0
